date,sp500 open,sp500 high,sp500 low,sp500 close,sp500 volume,sp500 high-low,nasdaq open,nasdaq high,nasdaq low,nasdaq close,nasdaq volume,nasdaq high-low,us_rates_%,CPI,usd_chf,eur_usd,GDP,silver open,silver high,silver low,silver close,silver volume,silver high-low,oil open,oil high,oil low,oil close,oil volume,oil high-low,platinum open,platinum high,platinum low,platinum close,platinum volume,platinum high-low,palladium open,palladium high,palladium low,palladium close,palladium volume,palladium high-low,gold open,gold high,gold low,gold close,gold volume
2010-01-14,114.49,115.14,114.42,114.93,115646960,0.719999999999999,46.26,46.52,46.22,46.39,75209000,0.300000000000004,0,0,1.0206,1.4478,0,18.58,18.7,18.45,18.66,69804,0.25,39.3,39.44,38.88,39.06,8575821,0.559999999999995,160.13,161.85,159.72,161.45,228500,2.13,43.93,45.02,43.86,44.84,364528,1.16,111.51,112.37,110.79,112.03,18305238
2010-01-15,114.73,114.84,113.2,113.64,212252769,1.64,46.46,46.55,45.65,45.85,126849300,0.899999999999999,0,0,1.0264,1.4376,0,18.54,18.54,18.36,18.41,205106,0.18,38.97,39.02,38.28,38.4,12615299,0.740000000000002,160.68,161.25,159.5,160.25,189900,1.75,45.18,45.76,44.4,45.76,442210,1.36,111.35,112.01,110.38,110.86,18000724
2010-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-19,113.62,115.13,113.59,115.06,138671890,1.53999999999999,45.96,46.64,45.95,46.59,84388200,0.689999999999998,0,0,1.034,1.4269,0,18.53,18.79,18.5,18.79,130552,0.289999999999999,38.07,38.9499,38.03,38.93,8180157,0.919899999999998,162.23,165.2,162.1722,165.12,295900,3.02779999999999,46.01,47.08,45.7,46.94,629150,1.38,110.95,111.75,110.83,111.52,10467927
2010-01-20,114.28,114.45,112.98,113.89,216330645,1.47,46.27,46.604,45.43,45.92,145680000,1.174,0,0,1.0453,1.4094,0,18.31,18.31,17.78,17.86,230907,0.529999999999998,38.23,38.35,37.88,37.89,11438685,0.469999999999999,163.51,163.51,159.09,163.22,438200,4.41999999999999,46.59,47.31,45.17,47.05,643198,2.14,109.97,110.05,108.46,108.94,17534231
2010-01-21,113.92,114.27,111.56,111.7,344747028,2.70999999999999,46.06,46.35,45.3,45.49,204939600,1.05,0,0,1.0426,1.4106,0,17.82,17.91,17.32,17.38,198067,0.59,38.22,38.41,37.09,37.24,13716561,1.31999999999999,161.86,162.5,159.12,159.79,247600,3.38,46.6,46.98,45.07,45.3,388457,1.91,108.48,108.78,106.61,107.37,25747831
2010-01-22,111.2,111.74,109.09,109.21,345627282,2.64999999999999,45.34,45.48,44.04,44.16,171098700,1.44,0,0,1.04,1.4154,0,17.13,17.154,16.87,17.07,184687,0.283999999999999,37.07,37.09,36.32,36.34,17901363,0.770000000000003,154.84,155.97,152.26,154.88,190100,3.71000000000001,43.7,44.386,42.6,43.3,343595,1.786,106.93,107.68,106.01,107.17,24209966
2010-01-25,110.21,110.41,109.41,109.77,186751367,1,44.39,44.6,44.12,44.31,154218700,0.480000000000004,0,0,1.0403,1.4146,0,17.01,17.16,16.98,17.13,106196,0.18,36.5,36.99,36.41,36.81,9052380,0.580000000000005,154.72,155.2,153.93,155.19,164800,1.26999999999998,43.68,44.42,43.43,44.36,184431,0.990000000000002,107.44,107.72,107.07,107.48,13170442
2010-01-26,109.34,110.47,109.04,109.31,210788669,1.42999999999999,44.28,44.89,44.05,44.35,140816500,0.840000000000003,0,0,1.0466,1.4063,0,16.48,16.89,16.43,16.71,218587,0.460000000000001,36.37,36.83,36.25,36.5,9104873,0.579999999999998,150.9,153.64,150.8,153.52,387600,2.83999999999998,42.77,43.1,42.38,42.75,338167,0.719999999999999,106.87,107.99,106.75,107.56,12274165
2010-01-27,109.17,110.08,108.33,109.83,271482263,1.75,44.29,44.85,44.01,44.7,161632700,0.840000000000003,0,0,1.0472,1.4053,0,16.67,16.7,16.42,16.5483,141860,0.279999999999998,36.54,36.74,35.61,36.08,14802425,1.13,152.45,153.2,148.27,149.99,247400,4.92999999999998,42.24,42.44,40.93,41.34,419800,1.51,107.53,108.8,106.16,106.528,18991219
